asset_type,file_name,new_rel_path,notion_target_type,notion_target_name,notion_parent_page
doc,IFNS_UI_Master_Summary_v2.md,docs\ifns_legacy\IFNS_UI_Master_Summary_v2.md,page,UI & Dashboard Drafts,IFNS – Legacy Deep Spec
doc,IFNS_UI_Steps_Index_v2.md,docs\ifns_legacy\IFNS_UI_Steps_Index_v2.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Phase1_Taxonomy_Governance.md,docs\ifns_legacy\indicators\checklists\Phase1_Taxonomy_Governance.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase2_Indicator_Universe.md,docs\ifns_legacy\indicators\checklists\Phase2_Indicator_Universe.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase3_L1_Catalog.md,docs\ifns_legacy\indicators\checklists\Phase3_L1_Catalog.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase4_L2L3_Frameworks.md,docs\ifns_legacy\indicators\checklists\Phase4_L2L3_Frameworks.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase5_Feature_Output_Digitization.md,docs\ifns_legacy\indicators\checklists\Phase5_Feature_Output_Digitization.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase6_Implementation_Runtime.md,docs\ifns_legacy\indicators\checklists\Phase6_Implementation_Runtime.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Phase7_ML_Integration_Operations.md,docs\ifns_legacy\indicators\checklists\Phase7_ML_Integration_Operations.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,CI_Guard.md,docs\ifns_legacy\indicators\CI_Guard.md,page,Tooling & CI,IFNS – Legacy Deep Spec
doc,Feature_Family_and_Pytest_Starter.md,docs\ifns_legacy\indicators\Feature_Family_and_Pytest_Starter.md,page,Tooling & CI,IFNS – Legacy Deep Spec
doc,Feature_Policy_Matrix.md,docs\ifns_legacy\indicators\Feature_Policy_Matrix.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Indicators_Feature_Schema_Phase5.md,docs\ifns_legacy\indicators\Indicators_Feature_Schema_Phase5.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_Implementation_Templates_Phase6.md,docs\ifns_legacy\indicators\Indicators_Implementation_Templates_Phase6.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_L1_Catalog_Phase3.md,docs\ifns_legacy\indicators\Indicators_L1_Catalog_Phase3.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_L2L3_Catalog_Phase4.md,docs\ifns_legacy\indicators\Indicators_L2L3_Catalog_Phase4.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_Master_Index_Phases_1_to_7.md,docs\ifns_legacy\indicators\Indicators_Master_Index_Phases_1_to_7.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_ML_Integration_Phase7.md,docs\ifns_legacy\indicators\Indicators_ML_Integration_Phase7.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_Taxonomy_Phase1.md,docs\ifns_legacy\indicators\Indicators_Taxonomy_Phase1.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,Indicators_Universe_Phase2.md,docs\ifns_legacy\indicators\Indicators_Universe_Phase2.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,IO_Utilities_and_Synthetic_Inputs.md,docs\ifns_legacy\indicators\IO_Utilities_and_Synthetic_Inputs.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Manifest_Diff_Tool.md,docs\ifns_legacy\indicators\Manifest_Diff_Tool.md,page,Tooling & CI,IFNS – Legacy Deep Spec
doc,Manifests_with_Family_and_Linter.md,docs\ifns_legacy\indicators\Manifests_with_Family_and_Linter.md,page,Tooling & CI,IFNS – Legacy Deep Spec
doc,QC_Weekly_ETL_Clip_Integration.md,docs\ifns_legacy\indicators\QC_Weekly_ETL_Clip_Integration.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,QC_Weekly_ETL_Skeleton.md,docs\ifns_legacy\indicators\QC_Weekly_ETL_Skeleton.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,QC_Weekly_Telemetry_V1.md,docs\ifns_legacy\indicators\QC_Weekly_Telemetry_V1.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,Soft_Clipping_and_Calendars.md,docs\ifns_legacy\indicators\Soft_Clipping_and_Calendars.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,Unit_Test_Scaffolds.md,docs\ifns_legacy\indicators\Unit_Test_Scaffolds.md,page,Tooling & CI,IFNS – Legacy Deep Spec
doc,Operational_Framework.md,docs\ifns_legacy\Operational_Framework.md,page,Conceptual & Operational Frameworks,IFNS – Legacy Deep Spec
doc,Reference_Library.md,docs\ifns_legacy\Reference_Library.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,CalendarGaps2025_views.md,docs\ifns_legacy\saved_views\CalendarGaps2025_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,CatalogL1_views.md,docs\ifns_legacy\saved_views\CatalogL1_views.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,CatalogL2L3_views.md,docs\ifns_legacy\saved_views\CatalogL2L3_views.md,page,Indicators – Design (Phases 1–7),IFNS – Legacy Deep Spec
doc,FamilyMap_views.md,docs\ifns_legacy\saved_views\FamilyMap_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,FeatureSchemaH1_views.md,docs\ifns_legacy\saved_views\FeatureSchemaH1_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,FeatureSchemaV1_views.md,docs\ifns_legacy\saved_views\FeatureSchemaV1_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,PolicyMatrix_views.md,docs\ifns_legacy\saved_views\PolicyMatrix_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,QCWeekly_views.md,docs\ifns_legacy\saved_views\QCWeekly_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,UniverseP2_views.md,docs\ifns_legacy\saved_views\UniverseP2_views.md,page,QC & Calendars,IFNS – Legacy Deep Spec
doc,Stage_00_Document_Overview.md,docs\ifns_legacy\stages\Stage_00_Document_Overview.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_01_Foundations_and_Architecture.md,docs\ifns_legacy\stages\Stage_01_Foundations_and_Architecture.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_02_Data_and_Feature_Pipeline.md,docs\ifns_legacy\stages\Stage_02_Data_and_Feature_Pipeline.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_03_Modeling_and_Training.md,docs\ifns_legacy\stages\Stage_03_Modeling_and_Training.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_04_Backtesting_and_Evaluation.md,docs\ifns_legacy\stages\Stage_04_Backtesting_and_Evaluation.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_05_Risk_Execution_and_SxE_Link.md,docs\ifns_legacy\stages\Stage_05_Risk_Execution_and_SxE_Link.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_06_Paper_Trading.md,docs\ifns_legacy\stages\Stage_06_Paper_Trading.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Stage_07_Live_Trading_and_Operations.md,docs\ifns_legacy\stages\Stage_07_Live_Trading_and_Operations.md,page,Stages 0–7 – ML Lifecycle,IFNS – Legacy Deep Spec
doc,Step_01_Preface_Integration.md,docs\ifns_legacy\Step_01_Preface_Integration.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_02_Executive_Summary.md,docs\ifns_legacy\Step_02_Executive_Summary.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_03_Visionary_Technical_Overview.md,docs\ifns_legacy\Step_03_Visionary_Technical_Overview.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_04_Preface_Timeline.md,docs\ifns_legacy\Step_04_Preface_Timeline.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_05_Introduction_Operational_Genesis.md,docs\ifns_legacy\Step_05_Introduction_Operational_Genesis.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_06_System_Architecture.md,docs\ifns_legacy\Step_06_System_Architecture.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_07_Data_Intelligence_Layer_DIL.md,docs\ifns_legacy\Step_07_Data_Intelligence_Layer_DIL.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_08_Modeling_Intelligence_MI.md,docs\ifns_legacy\Step_08_Modeling_Intelligence_MI.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_09_Execution_Intelligence_EI.md,docs\ifns_legacy\Step_09_Execution_Intelligence_EI.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_10_Market_Structural_Awareness_MSA.md,docs\ifns_legacy\Step_10_Market_Structural_Awareness_MSA.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_11_Model_and_Signal_Integration_MSI.md,docs\ifns_legacy\Step_11_Model_and_Signal_Integration_MSI.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_12_Decision_and_Risk_Architecture_DRA.md,docs\ifns_legacy\Step_12_Decision_and_Risk_Architecture_DRA.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_13_Self_Evaluation_and_Learning_SEL.md,docs\ifns_legacy\Step_13_Self_Evaluation_and_Learning_SEL.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Step_14_Advanced_Awareness_and_Quantum_Cognition.md,docs\ifns_legacy\Step_14_Advanced_Awareness_and_Quantum_Cognition.md,page,Unsorted Legacy Docs,IFNS – Legacy Deep Spec
doc,Wireframe.md,docs\ifns_legacy\Wireframe.md,page,UI & Dashboard Drafts,IFNS – Legacy Deep Spec
